"country","sftgcode","forecast.year","mean.p","rf.p","threat.p","harff.p","year","cou.tries5d","countryage.ln","coup.p","cwar.p","dis.l4pop.ln","elc.eleth1","elc.eleth2","elc.elethc","elc.eliti","elf.ethnicc1","elf.ethnicc2","elf.ethnicc3","elf.ethnicc9","gdppcgrow.sr","imr.normed.ln","ios.iccpr1","mev.civtot.ln","mev.regac.ln","mkl.ever","mkl.ongoing","pit.sftpuhvl2.10.ln","pitf.p","pol.autoc","pol.cat.fl1","pol.cat.fl2","pol.cat.fl3","pol.cat.fl7","pol.cat.pitf2","pol.cat.pitf3","pol.cat.pitf4","pol.cat.pitf5","pol.cat.pitf6","pol.durable.ln","postcw","reg.afr","reg.amr","reg.eap","reg.eur","reg.mna","reg.sca","t.reserve.ln","wdi.popsize.ln","wdi.trade.ln","date"
"Somalia","SOM",2017,0.377213961901879,0.069,0.0676695695941689,0.994972316111468,2016,0,4.04305126783455,0.414198142138993,0.0162908606828981,0,0,0,0,0,0,0,1,0,-1.21822645031301,1.65280800913419,1,1.79175946922805,2.63905732961526,1,0,1.38629436111989,1,0,0,1,0,0,0,0,1,0,0,1.38629436111989,1,1,0,0,0,0,0,0,9.28610662556377,4.33273001316265,2017-06-21
"Yemen","YEM",2017,0.0395357177156693,0.039,0.0411975612539665,0.0384095918930413,2016,0,3.29583686600433,0.097897980595303,0.0061127723508501,0,1,0,1,0,0,0,0,1,-2.64789916047781,0.940851496616751,0,1.6094379124341,3.3322045101752,0,0,1.6094379124341,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,22.399295827463,10.1973584968514,3.48818336024317,2017-06-21
"South Sudan","SSU",2017,0.0344896275609176,0.059,0.0444688826827525,2.22044604925031e-16,2016,1,0,0.123017493398477,0.0044261101553699,2.87919845729804,0,1,1,0,0,0,0,1,0,1.25044367870428,1,1.79175946922805,3.61091791264422,1,1,2.30258509299405,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,19.2530702411715,9.42058606233522,4.20998712405201,2017-06-21
"Syria","SYR",2017,0.0278558581327042,0.027,0.0565675743981125,2.22044604925031e-16,2016,0,4.26267987704132,0.238873981364463,0.0433384578121547,4.31748811353631,0,1,1,1,1,0,0,0,1.40937861693764,-0.196475304232048,0,1.94591014905531,3.25809653802148,1,1,1.6094379124341,2.22044604925031e-16,1,1,0,0,0,0,0,0,0,0,1.38629436111989,1,0,0,0,0,1,0,23.7501045481585,9.82565643499328,4.33698319007367,2017-06-21
"Afghanistan","AFG",2017,0.0167097920512108,0,0.0501242615494503,5.11460418196564e-06,2016,0,4.58496747867057,0.162152177362594,0.236716508491124,0,0,0,0,0,0,0,1,0,-0.529696454224362,1.80784560697968,0,1.38629436111989,3.13549421592915,1,0,1.6094379124341,1,1,0,1,0,0,1,0,0,0,0,0.693147180559945,1,0,0,0,0,0,1,22.6658800032667,10.389812326824,4.04268480393095,2017-06-21
"Chad","CHA",2017,0.0119840019749226,0.001,0.0349516800058806,3.25918887103143e-07,2016,0,4.04305126783455,0.0555824625967193,0.775607231174217,0,0,0,0,0,0,0,1,0,-1.87759777186108,1.5481373865703,1,0,2.39789527279837,1,0,0,1,1,0,1,0,0,1,0,0,0,0,3.17805383034795,1,1,0,0,0,0,0,19.7260817620883,9.54948560438754,4.20694456340563,2017-06-21
"Iraq","IRQ",2017,0.00243768496526353,0.007,0.000312973814892851,8.10808977256464e-08,2016,0,4.44265125649032,1.33895631509976e-07,7.44660041967308e-08,3.04452243772342,0,0,0,0,1,0,0,0,2.74401980590128,0.706570200892087,0,1.6094379124341,3.3322045101752,1,0,1.6094379124341,1,0,0,0,1,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0,1,0,24.7132113112078,10.5029665669492,4.04152774821021,2017-06-21
